qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
MGA_83716|TBZ_0837150	AAO38208|Delftia_acidovorans|Ani	99.777	448	1	0	1	448	1	448	0.0	936
MGA_84103|TBZ_0841020	WP_008360726|Nocardioidaceae_bacterium_Broad-1|Non	82.026	306	55	0	1	306	1	306	1.06e-180	498
MGA_84929|TBZ_0849280	YP_119056|Nocardia_farcinica_IFM_10152|Non	35.047	214	128	5	12	217	14	224	1.48e-33	124
MGA_85126|TBZ_0851250	YP_829364|Arthrobacter_sp_FB24|Non	100.000	38	0	0	1	38	136	173	7.27e-23	86.7
MGA_85394|TBZ_0853930	NP_767578|Bradyrhizobium_japonicum_USDA_110|Non	66.667	186	62	0	1	186	1	186	2.47e-97	287
MGA_85740|TBZ_0857390	BAG30835|Neptuniibacter_sp_CAR-SF|Ant	31.658	199	119	5	45	234	44	234	6.70e-27	108
MGA_85848|TBZ_0858470	BAH80171|Lysobacter_sp_OC7|Bph	61.688	462	164	7	1	452	1	459	0.0	596
MGA_86248|TBZ_0862470	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	46.512	86	44	2	7	91	392	476	8.43e-22	84.7
MGA_87032|TBZ_0870310	BAH70269|Comamonas_sp_E6|Ipt	87.972	424	51	0	1	424	1	424	0.0	799
MGA_87099|TBZ_0870980	YP_001580641|Burkholderia_multivorans_ATCC_17616|Non	55.414	314	140	0	1	314	1	314	8.78e-135	382
MGA_87633|TBZ_0876320	WP_009515010|Hydrogenophaga_sp_PBC|Non	100.000	177	0	0	1	177	235	411	5.58e-129	365
MGA_87962|TBZ_0879610	YP_547835|Polaromonas_sp_JS666|Non	88.571	140	16	0	1	140	284	423	6.43e-89	262
MGA_87979|TBZ_0879780	WP_017727651|Bacillus_sp_L1|Non	45.343	408	218	3	2	406	4	409	4.20e-128	373
MGA_88669|TBZ_0886680	YP_005043863|Burkholderia_sp_YI23|Non	42.790	423	231	4	1	416	2	420	6.69e-123	360
MGA_88854|TBZ_0888530	WP_019509760|Mycobacterium_sp_VKM_Ac-1815D|Non	40.385	416	236	5	13	426	1	406	7.08e-114	338
MGA_89274|TBZ_0892730	WP_007669962|Caulobacter_sp_AP07|Non	41.328	271	152	5	4	270	3	270	7.58e-69	211
MGA_89471|TBZ_0894700	YP_002540403|Agrobacterium_radiobacter_K84|Non	77.817	284	63	0	1	284	1	284	4.46e-169	466
MGA_89472|TBZ_0894710	YP_002540402|Agrobacterium_radiobacter_K84|Non	63.958	283	100	1	5	285	2	284	1.55e-129	366
MGA_89808|TBZ_0898070	AGS18337|Sphingobium_sp_YBL2|Pud	99.383	324	2	0	1	324	136	459	0.0	667
MGA_89810|TBZ_0898090	YP_001263902|Sphingomonas_wittichii_RW1|Non	66.087	230	74	3	1	229	1	227	5.24e-92	270
MGA_90549|TBZ_0905480	YP_558915|Burkholderia_xenovorans_LB400|Non	32.314	229	121	6	13	227	11	219	2.87e-24	100
MGA_92048|TBZ_0920470	CBX88679|Hydrogenophaga_sp_PBC|Abs	100.000	270	0	0	1	270	1	270	0.0	561
MGA_92666|TBZ_0926650	WP_007436449|Acetobacteraceae_bacterium_AT-5844|Non	70.112	445	130	3	1	443	1	444	0.0	642
MGA_93187|TBZ_0931860	WP_009519476|Hydrogenophaga_sp_PBC|Non	99.259	405	3	0	1	405	1	405	0.0	829
MGA_93643|TBZ_0936420	WP_009515010|Hydrogenophaga_sp_PBC|Non	68.889	225	69	1	1	225	188	411	1.15e-112	325
MGA_94183|TBZ_0941820	ZP_00946583|Ralstonia_solanacearum_UW551|Non	88.787	437	49	0	1	437	1	437	0.0	833
MGA_95325|TBZ_0953240	WP_009519325|Hydrogenophaga_sp_PBC|Non	98.969	194	2	0	1	194	1	194	5.94e-146	405
MGA_96505|TBZ_0965040	WP_009518931|Hydrogenophaga_sp_PBC|Non	100.000	68	0	0	1	68	1	68	5.23e-47	150
MGA_96541|TBZ_0965400	WP_009519325|Hydrogenophaga_sp_PBC|Non	100.000	50	0	0	1	50	259	308	2.80e-30	103
