CONTIG_ID	LENGTH	SHORT_READ_COV	LONG_READ_COV	CLUSTER	SPECIES	NB_STRAIN	REFERENCE_GENOME
opera_contig_1207	7032	10.64	0.00	NA	NA	NA	NA
opera_contig_1208	7024	9.58	18.38	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1209	7012	8.16	0.00	NA	Devosia_sp001899065	NA	GCA_001899065.1_genomic.fna.gz
opera_contig_1210	7009	31.01	0.88	NA	Curtobacterium_sp003234175	NA	GCF_003234175.1_genomic.fna.gz
opera_contig_1211	7006	7.45	1.83	NA	Natronohydrobacter_thiooxidans	NA	GCF_001884735.1_genomic.fna.gz
opera_contig_1212	6996	22.92	3.31	NA	Antricoccus_suffuscus	NA	GCF_003003235.1_genomic.fna.gz
opera_contig_1213	6984	28.90	0.00	NA	Zavarzinia_compransoris_A	NA	GCF_003173035.1_genomic.fna.gz
opera_contig_1214	7543	19.41	2.08	NA	Acetobacter_aceti	NA	GCF_000963905.1_genomic.fna.gz
opera_contig_1215	6980	20.64	0.37	NA	NA	NA	NA
opera_contig_1216	7970	129.81	5.27	NA	NA	NA	NA
opera_contig_1217	6956	6.57	3.63	NA	Halorubrum_sp001261915	NA	GCF_001261915.1_genomic.fna.gz
opera_contig_1218	6933	19.04	1.18	NA	Bosea_lupini	NA	GCF_900109525.1_genomic.fna.gz
opera_contig_1219	6929	7.46	4.31	NA	Curvibacter_gracilis	NA	GCF_000518645.1_genomic.fna.gz
opera_contig_1220	6927	26.52	0.71	NA	Spiribacter_sp001715285	NA	GCF_001715285.2_genomic.fna.gz
opera_contig_1221	18041	492.57	48.07	NA	Acidovorax_B_delafieldii_A	NA	GCF_000175235.1_genomic.fna.gz
opera_contig_1222	6913	9.80	10.21	NA	NA	NA	NA
opera_contig_1223	6911	26.95	2.42	NA	Ideonella_A_sakaiensis	NA	GCF_001293525.1_genomic.fna.gz
opera_contig_1224	6900	19.23	1.51	NA	UBA7803_sp003476445	NA	GCA_003476445.1_genomic.fna.gz
opera_contig_1225	6890	19.31	0.69	NA	NA	NA	NA
opera_contig_1226	6887	17.79	0.77	NA	NA	NA	NA
opera_contig_1227	8142	1806.21	84.85	NA	NA	NA	NA
opera_contig_1228	6885	9.33	0.09	NA	Pseudomonas_E_sp001320525	NA	GCF_001320525.1_genomic.fna.gz
opera_contig_1229	6885	19.32	2.05	NA	Bosea_lupini	NA	GCF_900109525.1_genomic.fna.gz
opera_contig_1230	6885	6.49	7.91	NA	NA	NA	NA
opera_contig_1231	6862	7.83	1.47	NA	Parapedobacter_composti	NA	GCF_900112315.1_genomic.fna.gz
opera_contig_1232	6861	20.93	0.74	NA	Phreatobacter_sp003008515	NA	GCF_003008515.1_genomic.fna.gz
opera_contig_1233	6853	28.50	1.75	NA	NA	NA	NA
opera_contig_1234	6849	7.48	0.27	NA	NA	NA	NA
opera_contig_1235	6844	10.49	7.74	NA	Gemmatimonas_sp002737115	NA	GCA_002737115.1_genomic.fna.gz
opera_contig_1236	6842	9.17	0.61	NA	Mycolicibacterium_holsaticum	NA	GCF_001722355.1_genomic.fna.gz
opera_contig_1237	6821	1625.67	88.10	NA	NA	NA	NA
opera_contig_1238	7044	27.46	2.14	NA	Frankia_sp001854805	NA	GCF_001854805.1_genomic.fna.gz
opera_contig_1239	25779	11142.07	465.80	NA	Rhizorhabdus_dicambivorans	NA	GCF_002355275.1_genomic.fna.gz
opera_contig_1240	6802	21.40	0.00	NA	NA	NA	NA
opera_contig_1241	6786	19.16	1.49	NA	Bosea_sp001429505	NA	GCF_001429505.1_genomic.fna.gz
opera_contig_1242	6779	79.75	5.90	NA	Allorhizobium_selenitireducens	NA	GCF_000518785.1_genomic.fna.gz
opera_contig_1243	6776	9.56	1.03	NA	NA	NA	NA
opera_contig_1244	6771	31.21	0.73	NA	NA	NA	NA
opera_contig_1245	6768	19.95	0.49	NA	Allorhizobium_selenitireducens	NA	GCF_000518785.1_genomic.fna.gz
opera_contig_1246	6753	29.96	0.25	NA	NA	NA	NA
opera_contig_1247	6728	20.00	0.66	NA	NA	NA	NA
opera_contig_1248	6728	18.28	1.38	NA	NA	NA	NA
opera_contig_1249	6724	6.27	11.66	NA	NA	NA	NA
opera_contig_1250	6718	33.18	1.69	NA	NA	NA	NA
opera_contig_1251	6713	27.37	1.32	NA	Aeromicrobium_A_massiliense	NA	GCF_000312105.1_genomic.fna.gz
opera_contig_1252	6708	6.74	2.86	NA	Duganella_zoogloeoides	NA	GCF_000383895.1_genomic.fna.gz
opera_contig_1253	6707	18.19	0.23	NA	GCA-002748415_sp002748415	NA	GCA_002748415.1_genomic.fna.gz
opera_contig_1254	6697	9.44	0.91	NA	Enterobacter_cloacae_L	NA	GCF_001022965.1_genomic.fna.gz
opera_contig_1255	6694	5.92	6.10	NA	NA	NA	NA
opera_contig_1256	6691	9.45	0.00	NA	Kitasatospora_phosalacinea	NA	GCF_000716545.1_genomic.fna.gz
opera_contig_1257	6682	7.06	23.28	NA	Fen-1039_sp003152995	NA	GCA_003152995.1_genomic.fna.gz
opera_contig_1258	6669	20.78	0.00	NA	NA	NA	NA
opera_contig_1259	6660	7.46	0.00	NA	NA	NA	NA
opera_contig_1260	6660	8.29	0.68	NA	NA	NA	NA
opera_contig_1261	11808	7.09	12.86	NA	NA	NA	NA
opera_contig_1262	6651	10.57	0.00	NA	QH-10-67-22_sp003021305	NA	GCA_003021305.1_genomic.fna.gz
opera_contig_1263	6649	29.37	0.00	NA	NA	NA	NA
opera_contig_1264	6638	29.95	1.23	NA	Halopenitus_malekzadehii	NA	GCF_900108505.1_genomic.fna.gz
opera_contig_1265	6636	21.18	2.09	NA	NA	NA	NA
opera_contig_1266	6632	23.01	2.13	NA	Actinocatenispora_sera	2	GCF_000720965.1_genomic.fna.gz
opera_contig_1267	6630	21.05	0.76	NA	NA	NA	NA
opera_contig_1268	6624	14.55	0.00	NA	NA	NA	NA
opera_contig_1269	6623	9.02	0.00	NA	NA	NA	NA
opera_contig_1270	6617	20.10	0.61	NA	Bosea_sp001748145	NA	GCF_001748145.1_genomic.fna.gz
opera_contig_1271	6612	31.43	0.00	NA	Demequina_maris	NA	GCF_000971155.1_genomic.fna.gz
opera_contig_1272	6608	21.12	0.22	NA	Bordetella_C_sp001704295	NA	GCF_001704295.1_genomic.fna.gz
opera_contig_1273	6599	27.01	0.35	NA	NA	NA	NA
opera_contig_1274	6593	8.60	0.07	NA	NA	NA	NA
opera_contig_1275	6592	7.77	0.00	NA	NA	NA	NA
opera_contig_1276	6589	8.30	1.90	NA	NA	NA	NA
opera_contig_1277	6572	7.33	0.54	NA	Bordetella_sp002261355	NA	GCF_002261355.1_genomic.fna.gz
opera_contig_1278	6559	7.58	0.00	NA	NA	NA	NA
opera_contig_1279	6529	27.76	2.26	NA	Rhodococcus_gordoniae	NA	GCF_001646655.1_genomic.fna.gz
opera_contig_1280	6529	7.15	0.00	NA	Rhodopseudomonas_palustris_I	NA	GCF_003226555.1_genomic.fna.gz
opera_contig_1281	6525	29.77	0.00	NA	NA	NA	NA
opera_contig_1282	6519	29.34	2.29	NA	NA	NA	NA
opera_contig_1283	6512	8.63	6.99	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1284	6512	29.68	2.00	NA	Actinocatenispora_sera	2	GCF_000720965.1_genomic.fna.gz
opera_contig_1285	6507	27.70	1.04	NA	NA	NA	NA
opera_contig_1286	6493	7.11	20.20	NA	Acidovorax_A_konjaci	NA	GCF_900112675.1_genomic.fna.gz
opera_contig_1287	6479	30.22	0.41	NA	Bosea_lupini	NA	GCF_900109525.1_genomic.fna.gz
opera_contig_1288	6479	7.90	0.71	NA	Megasphaera_sp001546855	NA	GCF_001546855.1_genomic.fna.gz
opera_contig_1289	6462	46.92	2.27	NA	Spiroplasma_A_floricola	NA	GCF_002813555.1_genomic.fna.gz
opera_contig_1290	6423	18.76	0.00	NA	Bosea_sp001429505	NA	GCF_001429505.1_genomic.fna.gz
opera_contig_1291	6399	20.71	3.07	NA	Bifidobacterium_sp002451435	NA	GCA_002451435.1_genomic.fna.gz
opera_contig_1292	6399	32.56	0.35	NA	SZUA-401_sp002869605	NA	GCA_002869605.1_genomic.fna.gz
opera_contig_1293	6388	6.92	0.43	NA	SZUA-430_sp003246795	NA	GCA_003246795.1_genomic.fna.gz
opera_contig_1294	6387	9.75	1.78	NA	NA	NA	NA
opera_contig_1295	6379	19.75	1.16	NA	NA	NA	NA
opera_contig_1296	6364	20.04	1.54	NA	Jannaschia_seosinensis	NA	GCF_001408515.1_genomic.fna.gz
opera_contig_1297	6360	90.14	0.00	NA	NA	NA	NA
opera_contig_1298	6359	7.82	5.25	NA	NA	NA	NA
opera_contig_1299	6351	20.95	1.86	NA	Halomonas_aestuarii	NA	GCF_001886615.1_genomic.fna.gz
opera_contig_1300	6342	27.55	0.26	NA	2-02-FULL-67-20_sp001805695	NA	GCA_001805695.1_genomic.fna.gz
opera_contig_1301	6418	25.51	2.55	NA	Nocardioides_sp003054165	NA	GCF_003054165.1_genomic.fna.gz
opera_contig_1302	6321	8.42	0.42	NA	NA	NA	NA
opera_contig_1303	6321	9.37	0.54	NA	NA	NA	NA
opera_contig_1304	6798	26.88	2.01	NA	Corynebacterium_A_variabile	NA	GCF_000720035.1_genomic.fna.gz
opera_contig_1305	19113	3221.60	154.43	NA	NA	NA	NA
opera_contig_1306	6309	7.96	1.75	NA	Burkholderia_cenocepacia_B	NA	GCA_000498115.1_genomic.fna.gz
opera_contig_1307	6305	21.90	0.37	NA	Sphingopyxis_sp000763945	NA	GCF_000763945.1_genomic.fna.gz
opera_contig_1308	6296	19.38	1.93	NA	Alistipes_sp900083545	NA	GCF_900083545.1_genomic.fna.gz
opera_contig_1309	6291	8.54	0.00	NA	Brevundimonas_subvibrioides	NA	GCF_000144605.1_genomic.fna.gz
opera_contig_1310	6283	20.69	1.58	NA	Bosea_sp000735605	NA	GCF_000735605.1_genomic.fna.gz
opera_contig_1311	6275	18.16	0.09	NA	Caulobacter_sp002858925	NA	GCF_002858925.1_genomic.fna.gz
opera_contig_1312	6272	20.73	0.75	NA	Bact-11_sp002361615	NA	GCA_002361615.1_genomic.fna.gz
opera_contig_1313	6262	22.45	3.19	NA	NA	NA	NA
opera_contig_1314	6262	6.65	0.00	NA	Streptomyces_C_cattleya	NA	GCF_000240165.1_genomic.fna.gz
opera_contig_1315	8099	10.50	2.89	NA	NA	NA	NA
opera_contig_1316	6259	8.34	1.64	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1317	6251	7.07	5.00	NA	NA	NA	NA
opera_contig_1318	6247	296.76	23.23	NA	12-FULL-67-14b_sp001768615	2	GCA_001768615.1_genomic.fna.gz
opera_contig_1319	6244	7.48	0.00	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1320	6242	7.08	9.48	NA	Limnohabitans_sp001412535	NA	GCF_001412535.1_genomic.fna.gz
opera_contig_1321	6241	21.24	0.00	NA	NA	NA	NA
opera_contig_1322	6225	29.35	1.16	NA	NA	NA	NA
opera_contig_1323	14422	187.67	9.04	NA	NA	NA	NA
opera_contig_1324	6216	28.27	0.00	NA	NA	NA	NA
opera_contig_1325	6212	17.86	0.50	NA	Competibacter_denitrificans	NA	GCF_001051235.1_genomic.fna.gz
opera_contig_1326	8491	16.25	1.47	NA	Ancylobacter_rudongensis	NA	GCF_900100155.1_genomic.fna.gz
opera_contig_1327	6207	19.81	0.44	NA	Allorhizobium_sp002600635	NA	GCF_002600635.1_genomic.fna.gz
opera_contig_1328	6204	26.94	1.08	NA	Nocardioides_sp001425175	NA	GCF_001425175.1_genomic.fna.gz
opera_contig_1329	6200	9.07	0.00	NA	Hyphomonas_chukchiensis	NA	GCF_000682695.1_genomic.fna.gz
opera_contig_1330	6198	7.86	21.22	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1331	7749	59.10	2.39	NA	NA	NA	NA
opera_contig_1332	6596	240.62	30.47	NA	1-14-0-10-36-32_sp002778465	NA	GCA_002778465.1_genomic.fna.gz
opera_contig_1333	6185	7.87	0.00	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1334	6185	21.43	2.73	NA	NA	NA	NA
opera_contig_1335	6183	28.25	1.48	NA	NA	NA	NA
opera_contig_1336	6181	8.85	0.20	NA	NA	NA	NA
opera_contig_1337	6180	18.68	0.55	NA	Bifidobacterium_aesculapii	NA	GCF_001417815.1_genomic.fna.gz
opera_contig_1338	6177	31.21	0.00	NA	NA	NA	NA
opera_contig_1339	6177	29.09	0.23	NA	NA	NA	NA
opera_contig_1340	6175	8.45	5.37	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1341	6155	7.99	0.00	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1342	6154	9.30	0.00	NA	NA	NA	NA
opera_contig_1343	6146	19.60	0.64	NA	Bosea_sp003241815	NA	GCA_003241815.1_genomic.fna.gz
opera_contig_1344	6141	18.72	0.48	NA	Bosea_sp001509835	NA	GCF_001509835.1_genomic.fna.gz
opera_contig_1345	6125	23.69	0.16	NA	Roseomonas_deserti	NA	GCF_001982615.1_genomic.fna.gz
opera_contig_1346	6121	10.99	0.00	NA	UBA2241_sp002347645	NA	GCA_002347645.1_genomic.fna.gz
opera_contig_1347	6117	7.88	8.40	NA	NA	NA	NA
opera_contig_1348	6115	7.55	0.00	NA	Microbacterium_testaceum_D	NA	GCF_002899925.1_genomic.fna.gz
opera_contig_1349	6115	20.61	6.45	NA	HLUCCA08_sp002094885	NA	GCF_002094885.1_genomic.fna.gz
opera_contig_1350	6114	7.06	0.99	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1351	7034	21.54	1.67	NA	Thiobacillus_denitrificans_F	NA	GCA_002424845.1_genomic.fna.gz
opera_contig_1352	6101	8.56	2.30	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1353	6094	22.24	0.00	NA	NA	NA	NA
opera_contig_1354	6092	7.50	3.92	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1355	6091	30.08	4.31	NA	Aeromicrobium_A_massiliense	NA	GCF_000312105.1_genomic.fna.gz
opera_contig_1356	6088	11.21	0.00	NA	Azovibrio_sp002340095	NA	GCA_002340095.1_genomic.fna.gz
opera_contig_1357	6084	7.92	27.28	NA	NA	NA	NA
opera_contig_1358	6077	8.10	0.28	NA	NA	NA	NA
opera_contig_1359	6076	19.33	0.00	NA	NA	NA	NA
opera_contig_1360	6046	7.39	0.27	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1361	6045	9.13	0.00	NA	Streptomyces_sp002846415	NA	GCF_002846415.1_genomic.fna.gz
opera_contig_1362	6271	28.36	1.89	NA	Massilia_sp002007115	NA	GCF_002007115.1_genomic.fna.gz
opera_contig_1363	10140	18.58	1.98	NA	NA	NA	NA
opera_contig_1364	6022	31.76	1.74	NA	Nocardioides_sp001428825	NA	GCF_001428825.1_genomic.fna.gz
opera_contig_1365	6020	19.35	1.37	NA	Poseidonocella_sedimentorum	NA	GCF_900116005.1_genomic.fna.gz
opera_contig_1366	6018	19.19	0.14	NA	Corynebacterium_pollutisoli	NA	GCF_900177745.1_genomic.fna.gz
opera_contig_1367	6125	41.72	10.20	NA	Aeromicrobium_A_massiliense	NA	GCF_000312105.1_genomic.fna.gz
opera_contig_1368	6013	19.03	0.00	NA	Komagataeibacter_oboediens	NA	GCF_003207815.1_genomic.fna.gz
opera_contig_1369	6012	7.51	12.81	NA	Novosphingobium_sp001519055	NA	GCF_001519055.1_genomic.fna.gz
opera_contig_1370	6008	30.75	0.77	NA	Fen-1039_sp003142755	NA	GCA_003142755.1_genomic.fna.gz
opera_contig_1371	5991	31.09	2.07	NA	NA	NA	NA
opera_contig_1372	5984	14.76	0.23	NA	Pseudomonas_E_kilonensis_B	NA	GCA_003096395.1_genomic.fna.gz
opera_contig_1373	5983	5.96	14.81	NA	NA	NA	NA
opera_contig_1374	13484	7.14	14.31	NA	NA	NA	NA
opera_contig_1375	5974	33.86	0.35	NA	NA	NA	NA
opera_contig_1376	5969	21.70	2.54	NA	NA	NA	NA
opera_contig_1377	5968	6.81	0.74	NA	NA	NA	NA
opera_contig_1378	10314	5.89	12.12	NA	Sinomonas_sp002224485	NA	GCA_002224485.1_genomic.fna.gz
opera_contig_1379	5957	8.34	1.15	NA	NA	NA	NA
opera_contig_1380	5944	19.42	1.12	NA	Microvirga_lotononidis	NA	GCF_000262405.1_genomic.fna.gz
opera_contig_1381	5942	7.01	0.28	NA	NA	NA	NA
opera_contig_1382	5939	20.29	0.72	NA	Thioalkalivibrio_sp000377785	NA	GCF_000377785.1_genomic.fna.gz
opera_contig_1383	5942	28.43	3.54	NA	Rubrimonas_cliftonensis	NA	GCF_900107585.1_genomic.fna.gz
opera_contig_1384	5923	25.51	0.38	NA	Tc-Br11-E2g1_sp001564255	NA	GCA_001564255.1_genomic.fna.gz
opera_contig_1385	5919	8.99	0.73	NA	NA	NA	NA
opera_contig_1386	5917	6.45	4.02	NA	Pantoea_deleyi	NA	GCA_002095375.1_genomic.fna.gz
opera_contig_1387	5914	6.20	0.00	NA	SMTZ1-45_sp002825515	NA	GCA_002825515.1_genomic.fna.gz
opera_contig_1388	5911	20.13	0.46	NA	Haloferax_denitrificans	NA	GCF_000337795.1_genomic.fna.gz
opera_contig_1389	5903	13.18	1.37	NA	NA	NA	NA
opera_contig_1390	5897	29.03	0.65	NA	Aeromicrobium_A_massiliense	NA	GCF_000312105.1_genomic.fna.gz
opera_contig_1391	5891	27.10	1.49	NA	Arthrobacter_D_ruber	NA	GCF_002954225.1_genomic.fna.gz
opera_contig_1392	5900	28.89	2.60	NA	NA	NA	NA
opera_contig_1393	5879	9.48	0.11	NA	NA	NA	NA
opera_contig_1394	5868	6.25	1.01	NA	Acidovorax_B_delafieldii_A	NA	GCF_000175235.1_genomic.fna.gz
opera_contig_1395	5860	8.31	0.00	NA	QHBW01_sp003244205	NA	GCA_003244205.1_genomic.fna.gz
opera_contig_1396	5855	28.81	1.43	NA	Nocardioides_sp003053885	NA	GCF_003053885.1_genomic.fna.gz
opera_contig_1397	5851	31.40	1.12	NA	Klenkia_sp001424455	NA	GCF_001424455.1_genomic.fna.gz
opera_contig_1398	5845	8.24	0.29	NA	NA	NA	NA
opera_contig_1399	6535	5.86	17.71	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1400	5820	7.85	0.26	NA	NA	NA	NA
opera_contig_1401	5814	19.69	1.88	NA	PAR1_sp002256205	NA	GCA_002256205.1_genomic.fna.gz
opera_contig_1402	5810	19.44	1.63	NA	NA	NA	NA
opera_contig_1403	5809	6.65	0.00	NA	Nodosilinea_sp000763385	NA	GCF_000763385.1_genomic.fna.gz
opera_contig_1404	5802	15.40	0.44	NA	Cupriavidus_basilensis_D	NA	GCF_000243095.1_genomic.fna.gz
opera_contig_1405	5868	28.47	2.24	NA	NA	NA	NA
opera_contig_1406	5800	26.14	0.68	NA	Rhodospirillum_A_centenum	NA	GCF_000016185.1_genomic.fna.gz
opera_contig_1407	5799	20.17	2.09	NA	Insolitispirillum_peregrinum	NA	GCF_900156605.1_genomic.fna.gz
opera_contig_1408	5791	16.30	0.27	NA	NA	NA	NA
opera_contig_1409	6503	5.03	30.01	NA	Prauserella_C_shujinwangii	NA	GCF_003001955.1_genomic.fna.gz
opera_contig_1410	5787	8.93	0.15	NA	NA	NA	NA
opera_contig_1411	5785	6.86	1.26	NA	Ga0077553_sp001464575	NA	GCA_001464575.1_genomic.fna.gz
opera_contig_1412	5784	28.38	0.51	NA	NA	NA	NA
opera_contig_1413	5781	6.86	0.22	NA	NA	NA	NA
opera_contig_1414	5777	18.25	0.00	NA	Methylobacterium_sp001423295	NA	GCF_001423295.1_genomic.fna.gz
opera_contig_1415	5776	17.47	0.09	NA	Alkalilimnicola_ehrlichii	NA	GCF_000014785.1_genomic.fna.gz
opera_contig_1416	5772	6.52	4.31	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1417	5767	19.06	0.38	NA	QS-1-68-17_sp003021105	NA	GCA_003021105.1_genomic.fna.gz
opera_contig_1418	5810	17.06	2.25	NA	NA	NA	NA
opera_contig_1419	5757	18.14	4.54	NA	Halomonas_denitrificans	NA	GCF_003056305.1_genomic.fna.gz
opera_contig_1420	5754	19.80	0.67	NA	Bosea_lupini	NA	GCF_900109525.1_genomic.fna.gz
opera_contig_1421	5754	9.34	0.42	NA	NA	NA	NA
opera_contig_1422	5750	10.91	11.16	NA	Cupriavidus_basilensis_D	NA	GCF_000243095.1_genomic.fna.gz
opera_contig_1423	5749	21.13	0.35	NA	NA	NA	NA
opera_contig_1424	5747	9.52	0.00	NA	Thalassospira_australica	NA	GCF_000763295.1_genomic.fna.gz
opera_contig_1425	5740	7.43	0.14	NA	Thiobacillus_denitrificans_E	NA	GCA_002403375.1_genomic.fna.gz
opera_contig_1426	5731	8.41	0.51	NA	Devosia_enhydra	NA	GCF_900119845.1_genomic.fna.gz
opera_contig_1427	5721	646.52	164.55	NA	1-14-0-20-47-16_sp002796325	2	GCA_002796325.1_genomic.fna.gz
opera_contig_1428	5711	6.94	9.93	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1429	5708	21.37	4.93	NA	NA	NA	NA
opera_contig_1430	5694	8.11	14.42	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1431	5687	9.36	0.19	NA	UBA2400_sp002343265	NA	GCA_002343265.1_genomic.fna.gz
opera_contig_1432	5687	9.80	15.37	NA	Bifidobacterium_aesculapii	NA	GCF_001417815.1_genomic.fna.gz
opera_contig_1433	5681	18.20	0.00	NA	NA	NA	NA
opera_contig_1434	6056	1610.54	51.40	NA	NA	NA	NA
opera_contig_1435	5679	22.28	0.10	NA	NA	NA	NA
opera_contig_1436	5679	6.45	1.49	NA	Alcanivorax_sp002313655	NA	GCA_002313655.1_genomic.fna.gz
opera_contig_1437	5674	20.17	0.56	NA	Centipeda_sp000315545	NA	GCF_000315545.1_genomic.fna.gz
opera_contig_1438	5671	54.26	9.81	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_1439	5670	7.53	5.50	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1440	5669	8.68	2.03	NA	Dyella_A_sp002279065	NA	GCA_002279065.1_genomic.fna.gz
opera_contig_1441	5668	29.05	0.51	NA	Nocardioides_solisilvae	NA	GCF_003194625.1_genomic.fna.gz
opera_contig_1442	5667	19.67	0.26	NA	NA	NA	NA
opera_contig_1443	5660	30.33	2.04	NA	Methylocapsa_acidiphila	NA	GCF_000427445.1_genomic.fna.gz
opera_contig_1444	5648	18.49	0.08	NA	UBA8260_sp003142035	NA	GCA_003142035.1_genomic.fna.gz
opera_contig_1445	5647	22.49	1.84	NA	Pseudomonas_E_sp002112345	NA	GCF_002112345.1_genomic.fna.gz
opera_contig_1446	5646	28.81	5.62	NA	Methanomethylophilus_sp002495325	NA	GCA_002495325.1_genomic.fna.gz
opera_contig_1447	5645	28.28	0.07	NA	NA	NA	NA
opera_contig_1448	5644	20.55	0.37	NA	NA	NA	NA
opera_contig_1449	5635	9.44	13.06	NA	Pseudomonas_E_sp003052585	NA	GCF_003052585.1_genomic.fna.gz
opera_contig_1450	5630	32.46	3.08	NA	NA	NA	NA
opera_contig_1451	5630	23.18	2.66	NA	Bosea_sp001509835	NA	GCF_001509835.1_genomic.fna.gz
opera_contig_1452	5625	29.99	1.11	NA	UBA5066_sp002414905	NA	GCA_002414905.1_genomic.fna.gz
opera_contig_1453	5625	21.24	7.15	NA	Alsobacter_sp003004785	NA	GCF_003004785.1_genomic.fna.gz
opera_contig_1454	5619	21.44	0.76	NA	Bosea_sp001509835	NA	GCF_001509835.1_genomic.fna.gz
opera_contig_1455	5608	7.52	0.18	NA	Xenophilus_azovorans	NA	GCF_000745855.1_genomic.fna.gz
opera_contig_1456	5601	9.41	1.06	NA	NA	NA	NA
opera_contig_1457	5600	16.85	2.11	NA	NA	NA	NA
opera_contig_1458	5591	16.34	1.57	NA	NA	NA	NA
opera_contig_1459	5580	28.12	2.11	NA	2-01-FULL-66-17_sp001803875	NA	GCA_001803875.1_genomic.fna.gz
opera_contig_1460	5569	10.55	0.00	NA	Belnapia_moabensis	NA	GCF_000745835.1_genomic.fna.gz
opera_contig_1461	5565	20.03	30.49	NA	Microbacterium_hominis	NA	GCF_001592125.1_genomic.fna.gz
opera_contig_1462	5565	17.68	0.64	NA	Elioraea_tepidiphila	NA	GCF_000378465.1_genomic.fna.gz
opera_contig_1463	5563	19.04	1.45	NA	Bosea_lupini	NA	GCF_900109525.1_genomic.fna.gz
opera_contig_1464	5563	20.30	2.97	NA	NA	NA	NA
opera_contig_1465	5551	4.88	2.18	NA	NA	NA	NA
opera_contig_1466	5840	7.34	13.54	NA	NA	NA	NA
opera_contig_1467	5525	30.71	0.56	NA	NA	NA	NA
opera_contig_1468	5525	11.72	1.52	NA	Cupriavidus_basilensis_A	NA	GCF_000832305.1_genomic.fna.gz
opera_contig_1469	5515	31.59	0.69	NA	Spirillospora_madurae	NA	GCF_900115095.1_genomic.fna.gz
opera_contig_1470	5512	17.94	1.95	NA	NA	NA	NA
opera_contig_1471	5510	3006.99	109.70	NA	Riesia_B_sp002688505	NA	GCA_002688505.1_genomic.fna.gz
opera_contig_1472	5509	13.21	0.48	NA	Ensifer_adhaerens_D	NA	GCF_002007205.1_genomic.fna.gz
opera_contig_1473	5506	8.21	0.55	NA	YLY08_sp003057885	NA	GCF_003057885.1_genomic.fna.gz
opera_contig_1474	5500	83.97	2.85	NA	20CM-2-65-7_sp003220985	1	GCA_003220985.1_genomic.fna.gz
opera_contig_1475	5491	19.56	1.74	NA	NA	NA	NA
opera_contig_1476	5464	30.13	0.79	NA	Frankia_sp001636565	NA	GCF_001636565.1_genomic.fna.gz
opera_contig_1477	5459	9.84	1.19	NA	UBA995_sp003517845	NA	GCA_003517845.1_genomic.fna.gz
opera_contig_1478	5455	19.60	0.67	NA	Bosea_sp001509835	NA	GCF_001509835.1_genomic.fna.gz
opera_contig_1479	5782	4.97	33.95	NA	NA	NA	NA
opera_contig_1480	5450	35.83	2.96	NA	Sphingomonas_B_sp001724715	NA	GCA_001724715.1_genomic.fna.gz
opera_contig_1481	5447	7.19	2.55	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1482	5447	7.93	7.60	NA	Hydrogenophaga_sp001713375	NA	GCF_001713375.1_genomic.fna.gz
opera_contig_1483	5446	6.54	2.51	NA	Hydrogenophaga_intermedia	NA	GCF_000723405.1_genomic.fna.gz
opera_contig_1484	5436	9.60	2.62	NA	UBA8309_sp002457765	NA	GCA_002457765.1_genomic.fna.gz
opera_contig_1485	5430	27.00	0.12	NA	Azospirillum_thiophilum_A	NA	GCF_003130795.1_genomic.fna.gz
opera_contig_1486	5916	7.22	17.57	NA	Variovorax_sp002754375	NA	GCF_002754375.1_genomic.fna.gz
opera_contig_1487	5424	21.19	0.20	NA	NA	NA	NA
opera_contig_1488	5423	25.36	1.34	NA	Corynebacterium_sphenisci	NA	GCF_001941505.1_genomic.fna.gz
